elapsed,avgmem,maxmem,exitstatus,algorithm,tree,n_leaves,k
25.20,0,471328,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,701
18.11,0,471312,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,801
6.81,0,471488,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,901
6.04,0,471440,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,1
17.88,0,471456,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,101
25.73,0,471456,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,201
30.87,0,471472,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,301
33.65,0,471456,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,401
33.10,0,471472,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,501
29.31,0,471472,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,601
32.72,0,471456,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,701
18.42,0,471456,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,801
6.92,0,471648,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,901
5.94,0,470592,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,1
22.93,0,470608,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,101
26.18,0,470592,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,201
30.28,0,470592,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,301
43.90,0,470608,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,401
30.91,0,470592,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,501
29.92,0,470608,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,601
16.60,0,470560,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,701
18.10,0,470592,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,801
6.73,0,470784,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,901
